league,season,date,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts
EPL,2020,2021-01-26 20:15:00,Southampton,h,0.99504,2.4339,0.99504,2.4339,6.68,16.3,1,7,1,3,0.3914,l,0,0,1,0
EPL,2020,2021-01-30 20:00:00,Southampton,h,2.22557,0.795508,2.22557,0.795508,9.0625,10.538461538461538,17,4,0,1,2.4133,l,0,0,1,0
EPL,2020,2021-02-02 20:15:00,Southampton,a,0.507893,5.0325,0.507893,4.27133,14.5,4.555555555555555,2,23,0,9,0.0102,l,0,0,1,0
EPL,2020,2021-02-06 15:00:00,Southampton,a,1.43445,0.910553,1.43445,0.910553,2.8846153846153846,18.0,8,6,2,3,1.7691,l,0,0,1,0
EPL,2020,2021-02-14 12:00:00,Southampton,h,0.8536,1.09361,0.8536,0.33244,11.523809523809524,15.36842105263158,6,3,1,2,1.0531,l,0,0,1,0
EPL,2020,2021-02-20 12:30:00,Southampton,h,0.496603,1.44849,0.496603,0.687319,16.928571428571427,4.171428571428572,0,10,1,1,0.4658,d,0,1,0,1
EPL,2020,2021-02-23 20:00:00,Southampton,a,1.47981,1.84753,1.47981,1.84753,6.464285714285714,6.724137931034483,5,10,0,3,1.1264,l,0,0,1,0
EPL,2020,2021-03-01 20:00:00,Southampton,a,0.665743,1.42054,0.665743,1.42054,8.03225806451613,10.185185185185183,3,5,0,1,0.6473,l,0,0,1,0
EPL,2020,2021-03-06 15:00:00,Southampton,a,2.37386,0.908155,1.6127,0.908155,7.25,7.793103448275862,5,5,2,0,2.4388,w,1,0,0,3
EPL,2020,2021-03-10 18:00:00,Southampton,a,1.60561,3.10503,0.844439,3.10503,18.39130434782609,20.733333333333334,5,10,2,5,0.4413,l,0,0,1,0
EPL,2020,2021-03-14 12:00:00,Southampton,h,1.03495,0.895967,1.03495,0.895967,16.11111111111111,7.878787878787879,7,2,1,2,1.4743,l,0,0,1,0
EPL,2020,2021-04-04 11:00:00,Southampton,h,2.40272,1.50285,2.40272,0.741677,7.8125,10.19047619047619,14,7,3,2,2.029,w,1,0,0,3
EPL,2020,2021-04-12 17:00:00,Southampton,a,1.5002,2.77089,0.739026,2.00972,5.0,7.666666666666667,9,12,0,3,0.5685,l,0,0,1,0
EPL,2020,2021-04-21 19:00:00,Southampton,a,1.06134,1.28824,1.06134,0.527071,18.8,7.206896551724138,2,11,1,2,1.089,l,0,0,1,0
EPL,2020,2021-04-30 19:00:00,Southampton,h,0.954057,2.51518,0.192888,2.51518,21.75,3.971428571428571,2,8,1,1,0.3569,d,0,1,0,1
EPL,2020,2021-05-08 19:15:00,Southampton,a,1.2289,2.26367,1.2289,2.26367,20.3125,11.0,5,10,0,2,0.6642999999999999,l,0,0,1,0
EPL,2020,2021-05-11 21:00:00,Southampton,h,1.58872,1.32586,1.58872,0.56469,5.565217391304348,12.310344827586206,5,8,3,1,1.5599,w,1,0,0,3
EPL,2020,2021-05-15 14:00:00,Southampton,h,2.29146,0.875957,2.29146,0.875957,12.7,10.0,7,8,3,1,2.3479,w,1,0,0,3
EPL,2020,2021-05-18 17:00:00,Southampton,h,1.3084,1.58132,1.3084,1.58132,7.193548387096774,6.193548387096774,8,7,0,2,1.1212,l,0,0,1,0
EPL,2020,2021-05-23 15:00:00,Southampton,a,1.35179,1.98344,1.35179,1.98344,6.166666666666667,17.764705882352942,10,2,0,3,0.9417,l,0,0,1,0
EPL,2020,2020-09-13 13:00:00,Leicester City,a,2.95581,0.352997,1.43347,0.352997,10.529411764705882,19.105263157894736,3,6,3,0,2.9074,w,1,0,0,3
EPL,2020,2020-09-20 18:00:00,Leicester City,h,0.987365,1.52404,0.987365,1.52404,7.470588235294118,16.095238095238095,14,6,4,2,0.9512,w,1,0,0,3
EPL,2020,2020-09-27 15:30:00,Leicester City,a,2.86721,1.44633,0.583704,1.44633,25.083333333333332,5.333333333333333,3,5,5,2,2.4334,w,1,0,0,3
EPL,2020,2020-10-04 11:00:00,Leicester City,h,0.456022,2.03227,0.456022,2.03227,7.318181818181818,34.18181818181818,2,3,0,3,0.3094,l,0,0,1,0
EPL,2020,2020-10-18 18:15:00,Leicester City,h,0.671595,0.873776,0.671595,0.873776,8.75,9.217391304347826,4,7,0,1,1.1142,l,0,0,1,0
EPL,2020,2020-10-25 19:15:00,Leicester City,a,0.736172,0.73944,0.736172,0.73944,26.214285714285715,11.0,2,5,1,0,1.3486,w,1,0,0,3
EPL,2020,2020-11-02 20:00:00,Leicester City,a,3.07657,1.74822,2.3154,1.74822,36.9,6.739130434782608,5,7,4,1,2.3016,w,1,0,0,3
EPL,2020,2020-11-08 14:00:00,Leicester City,h,2.0545,0.57936,0.532166,0.57936,14.8,26.1,1,6,1,0,2.5842,w,1,0,0,3
EPL,2020,2020-11-22 19:15:00,Leicester City,a,1.98397,3.77245,1.98397,3.77245,18.095238095238095,8.275862068965518,8,9,0,3,0.4460999999999999,l,0,0,1,0
EPL,2020,2020-11-30 17:30:00,Leicester City,h,1.27814,2.03719,1.27814,1.27602,5.666666666666667,17.454545454545453,9,7,1,2,0.7869999999999999,l,0,0,1,0
EPL,2020,2020-12-06 14:15:00,Leicester City,a,1.3904,0.290743,1.3904,0.290743,5.55,17.428571428571427,5,3,2,1,2.3325,w,1,0,0,3
EPL,2020,2020-12-13 19:15:00,Leicester City,h,1.64351,0.791673,1.64351,0.791673,13.052631578947368,9.392857142857142,11,5,3,0,2.0698999999999996,w,1,0,0,3
EPL,2020,2020-12-16 18:00:00,Leicester City,h,0.83883,1.51486,0.83883,1.51486,6.964285714285714,26.692307692307693,6,3,0,2,0.6886,l,0,0,1,0
EPL,2020,2020-12-20 14:15:00,Leicester City,a,1.74772,0.945932,0.986554,0.945932,11.782608695652174,9.476190476190476,13,5,2,0,2.0111999999999997,w,1,0,0,3
EPL,2020,2020-12-26 12:30:00,Leicester City,h,1.0396,2.08423,1.0396,2.08423,10.333333333333334,9.258064516129032,1,6,2,2,0.6244,d,0,1,0,1
EPL,2020,2020-12-28 15:00:00,Leicester City,a,1.72132,0.321348,0.960152,0.321348,5.52,23.375,4,1,1,1,2.5497,d,0,1,0,1
EPL,2020,2021-01-03 14:15:00,Leicester City,a,0.702081,0.264584,0.702081,0.264584,6.310344827586207,13.521739130434783,6,1,2,1,1.774,w,1,0,0,3
